,info
method=[binary_search]_edge=[0-1]_changed=[Room1],0.0
method=[binary_search]_edge=[0-3]_changed=[Room1],0.875
method=[binary_search]_edge=[1-2]_changed=[Room1],0.0
method=[binary_search]_edge=[2-5]_changed=[Room1],0.84375
method=[binary_search]_edge=[3-4]_changed=[Room1],0.90625
method=[binary_search]_edge=[4-5]_changed=[Room1],0.75
method=[binary_search]_edge=[4-7]_changed=[Room1],0.71875
method=[binary_search]_edge=[5-8]_changed=[Room1],0.761719
method=[binary_search]_edge=[7-8]_changed=[Room1],0.703125
method=[binary_search]_edge=[global]_changed=[Room1],0.453014
method=[binary_search]_edge=[0-1]_changed=[Room2],0.875
method=[binary_search]_edge=[0-3]_changed=[Room2],0.875
method=[binary_search]_edge=[1-2]_changed=[Room2],0.0
method=[binary_search]_edge=[2-5]_changed=[Room2],0.0
method=[binary_search]_edge=[3-4]_changed=[Room2],0.849609
method=[binary_search]_edge=[4-5]_changed=[Room2],0.75
method=[binary_search]_edge=[4-7]_changed=[Room2],0.71875
method=[binary_search]_edge=[5-8]_changed=[Room2],0.761719
method=[binary_search]_edge=[7-8]_changed=[Room2],0.703125
method=[binary_search]_edge=[global]_changed=[Room2],0.424701
method=[binary_search]_edge=[0-1]_changed=[Room3],0.875
method=[binary_search]_edge=[0-3]_changed=[Room3],0.0
method=[binary_search]_edge=[1-2]_changed=[Room3],0.84375
method=[binary_search]_edge=[2-5]_changed=[Room3],0.84375
method=[binary_search]_edge=[3-4]_changed=[Room3],0.0
method=[binary_search]_edge=[4-5]_changed=[Room3],0.703125
method=[binary_search]_edge=[4-7]_changed=[Room3],0.71875
method=[binary_search]_edge=[5-8]_changed=[Room3],0.8125
method=[binary_search]_edge=[7-8]_changed=[Room3],0.75
method=[binary_search]_edge=[global]_changed=[Room3],0.506126
method=[binary_search]_edge=[0-1]_changed=[Room4],0.875
method=[binary_search]_edge=[0-3]_changed=[Room4],0.875
method=[binary_search]_edge=[1-2]_changed=[Room4],0.84375
method=[binary_search]_edge=[2-5]_changed=[Room4],0.84375
method=[binary_search]_edge=[3-4]_changed=[Room4],0.0
method=[binary_search]_edge=[4-5]_changed=[Room4],0.0
method=[binary_search]_edge=[4-7]_changed=[Room4],0.0
method=[binary_search]_edge=[5-8]_changed=[Room4],0.8125
method=[binary_search]_edge=[7-8]_changed=[Room4],0.75
method=[binary_search]_edge=[global]_changed=[Room4],0.506126
method=[binary_search]_edge=[0-1]_changed=[Room5],0.875
method=[binary_search]_edge=[0-3]_changed=[Room5],0.875
method=[binary_search]_edge=[1-2]_changed=[Room5],0.84375
method=[binary_search]_edge=[2-5]_changed=[Room5],0.0
method=[binary_search]_edge=[3-4]_changed=[Room5],0.849609
method=[binary_search]_edge=[4-5]_changed=[Room5],0.0
method=[binary_search]_edge=[4-7]_changed=[Room5],0.71875
method=[binary_search]_edge=[5-8]_changed=[Room5],0.0
method=[binary_search]_edge=[7-8]_changed=[Room5],0.75
method=[binary_search]_edge=[global]_changed=[Room5],0.400743
method=[binary_search]_edge=[0-1]_changed=[Room6],0.875
method=[binary_search]_edge=[0-3]_changed=[Room6],0.875
method=[binary_search]_edge=[1-2]_changed=[Room6],0.84375
method=[binary_search]_edge=[2-5]_changed=[Room6],0.84375
method=[binary_search]_edge=[3-4]_changed=[Room6],0.90625
method=[binary_search]_edge=[4-5]_changed=[Room6],0.75
method=[binary_search]_edge=[4-7]_changed=[Room6],0.71875
method=[binary_search]_edge=[5-8]_changed=[Room6],0.761719
method=[binary_search]_edge=[7-8]_changed=[Room6],0.703125
method=[binary_search]_edge=[global]_changed=[Room6],0.474494
method=[binary_search]_edge=[0-1]_changed=[Room7],0.875
method=[binary_search]_edge=[0-3]_changed=[Room7],0.875
method=[binary_search]_edge=[1-2]_changed=[Room7],0.84375
method=[binary_search]_edge=[2-5]_changed=[Room7],0.84375
method=[binary_search]_edge=[3-4]_changed=[Room7],0.90625
method=[binary_search]_edge=[4-5]_changed=[Room7],0.75
method=[binary_search]_edge=[4-7]_changed=[Room7],0.0
method=[binary_search]_edge=[5-8]_changed=[Room7],0.8125
method=[binary_search]_edge=[7-8]_changed=[Room7],0.0
method=[binary_search]_edge=[global]_changed=[Room7],0.506126
